id_endereco,id_cliente,logradouro,numero,bairro,cidade,estado,cep,created_at
91,3064,Lago de Nunes,369,Madri,Jesus,AL,35209-019,2025-04-04 00:25:26
92,4913,Praia Isabela Santos,2,Jardim Leblon,Barbosa,SE,95923-537,2024-09-22 07:49:33
93,2463,Estação de da Paz,25,Marmiteiros,Rios do Amparo,MT,67347376,2024-07-23 02:23:16
94,4704,Campo de Araújo,9,Goiania,Melo Alegre,PE,97203-176,2024-04-02 05:45:57
95,2302,Lago de da Costa,2,Graça,da Mata da Serra,AC,25880480,2025-09-11 21:59:47
96,407,Travessa de Sousa,102,Nova America,Alves do Amparo,TO,76968011,2025-09-18 10:17:23
97,852,Distrito de Câmara,34,Silveira,Andrade,RJ,97514-340,2024-01-29 06:44:04
98,2153,Área Brito,99,Alta Tensão 2ª Seção,Correia,RJ,71116-856,2025-02-18 21:51:22
99,3559,Núcleo Otávio Duarte,6,Santa Amelia,Jesus,MS,04514344,2023-05-19 10:36:18
100,3953,Passarela Pacheco,743,Petropolis,Pimenta,MG,39578-413,2023-12-07 07:49:08
101,1540,Área Casa Grande,252,Custodinha,da Paz do Oeste,PB,20683077,2025-07-17 14:42:58
102,2791,Viela Lucca Sampaio,1,Jardim Leblon,Aparecida,AC,20081920,2024-09-25 08:19:03
103,3920,Quadra Dias,661,Nova America,da Cruz,AP,59878-736,2023-03-15 11:22:00
104,4180,Vereda de da Conceição,33,Maria Tereza,Cavalcante do Amparo,ES,18682-511,2024-01-15 20:38:03
105,4057,Lago Nunes,21,Palmares,da Cunha da Praia,GO,60546656,2025-01-21 10:07:37
106,3226,Distrito Caroline Pinto,14,Etelvina Carneiro,Siqueira,GO,15876248,2024-06-01 09:38:03
107,3557,Trevo João Pedro Guerra,83,Barão Homem De Melo 1ª Seção,Marques,CE,96797-968,2024-08-07 15:45:59
108,4324,Jardim Porto,30,Silveira,Vasconcelos de Viana,SP,38736-305,2024-08-09 21:53:50
109,4242,Vila de Novais,568,Nossa Senhora Da Aparecida,Cirino,PI,99383-246,2022-11-28 10:20:00
110,1227,Condomínio Cunha,1,Xangri-Lá,Freitas da Mata,SC,82117222,2024-10-14 11:31:55
111,1489,Travessa de Cassiano,24,Estoril,Pinto do Campo,MG,81877-450,2023-06-26 12:42:07
112,4870,Distrito de Sá,802,Renascença,Viana da Prata,TO,33886944,2023-08-28 14:44:58
113,3106,Condomínio Isaac Rodrigues,41,Goiania,Vargas,MS,82029-750,2023-05-11 19:42:59
114,3861,Distrito Théo Cassiano,96,Carmo,Moraes do Galho,AL,71003854,2025-01-05 09:44:29
115,3752,Viaduto Pietro Aragão,695,Vila Boa Vista,Lopes,PE,36691-399,2024-10-28 04:53:58
116,2379,Vale Fonseca,3,Estrela Do Oriente,Rodrigues,ES,22506-139,2025-10-28 02:55:40
117,4618,Quadra Marcela Pereira,44,Diamante,Aparecida,RJ,99480-852,2024-07-18 16:36:54
118,376,Esplanada de Novaes,61,Casa Branca,Caldeira,RJ,62227-631,2022-12-20 04:06:59
119,542,Fazenda Isaque Fonseca,6,Varzea Da Palma,Albuquerque,SC,70013438,2023-07-19 12:26:39
120,497,Esplanada de Andrade,38,Santa Rita De Cássia,Novais de Goiás,ES,48345640,2025-03-10 07:55:12
121,2550,Estrada Davi Silveira,81,São Benedito,Nunes dos Dourados,AL,40335-528,2023-02-17 06:31:27
122,3938,Viela Rodrigo Vargas,206,Universo,Cardoso do Norte,TO,80128706,2025-05-15 08:24:05
123,1757,Esplanada João Guilherme Rodrigues,15,Dom Bosco,Freitas de Duarte,RN,90259112,2023-03-07 09:36:00
124,4932,Residencial de Garcia,2,Vitoria Da Conquista,Carvalho do Amparo,MT,30777357,2025-09-12 23:18:47
125,2618,Vale Moraes,192,Vila São Dimas,Nogueira,RJ,71454-823,2024-05-14 12:34:09
126,4918,Jardim de Pacheco,93,Nova Cintra,Moreira,AP,06693-948,2024-02-20 09:07:47
127,1384,Estação Luara Macedo,74,Santana Do Cafezal,Almeida do Sul,PB,55183-391,2025-09-01 20:46:14
128,4155,Parque Maria Fonseca,59,Vila Trinta E Um De Março,da Costa de Pinto,AL,87620-868,2024-05-09 03:34:46
129,3347,Alameda Maria Fernanda Pires,3,Itaipu,da Luz,CE,77359998,2022-12-20 15:33:52
130,1234,Fazenda de Oliveira,6,Vila São Geraldo,Vargas da Mata,PB,86859701,2024-02-16 04:37:09
131,2001,Pátio de Ramos,20,Vila Olhos D'água,Albuquerque de Costela,AM,53342311,2024-11-25 05:16:05
132,1806,Viela Dias,22,Grota,da Mota Paulista,ES,70497-944,2025-03-27 17:30:08
133,420,Vila de da Mata,497,São Luiz,Casa Grande de Barbosa,SP,10152-614,2025-03-23 20:07:33
134,46,Jardim de Moura,11,Universitário,Sales,PR,06018105,2025-08-15 21:04:24
135,1701,Lagoa de Costela,13,Pindorama,Nunes dos Dourados,PI,21636096,2024-11-12 07:15:15
136,4455,Travessa de da Conceição,3,Vila Maria,Siqueira,AM,06385-068,2024-05-06 08:25:07
137,4746,Estrada de Martins,1,Santo André,da Mata,MT,73801608,2023-07-22 05:03:41
138,3714,Rodovia de Moraes,61,Marçola,Mendes,PR,38863065,2024-08-03 14:32:37
139,4698,Campo Eloá Barbosa,23,Santa Inês,Leão do Amparo,MS,19331634,2024-08-31 12:09:24
140,2506,Trecho Bryan Araújo,134,Universitário,Castro,PI,35902757,2025-06-15 14:51:19
141,1281,Ladeira Sá,8,Vila Do Pombal,Lopes,MT,76232-066,2025-04-24 15:34:58
142,4427,Lagoa Macedo,6,Universitário,Casa Grande de Minas,AP,12133227,2023-06-23 23:53:21
143,286,Conjunto Pires,173,São Francisco,Fogaça,ES,89104-341,2024-12-28 09:41:09
144,4877,Rodovia de Martins,75,Belvedere,Barbosa,PA,34336759,2024-08-05 19:28:24
145,854,Jardim de Montenegro,945,Belmonte,Costa,RO,42877-910,2025-07-23 00:09:58
146,4199,Passarela Costa,30,Ademar Maldonado,Campos,AM,63799-848,2023-06-16 18:35:26
147,1136,Avenida de Carvalho,47,Jardim Leblon,Sales,RO,81055393,2023-02-02 16:45:47
148,1732,Chácara Porto,470,Túnel De Ibirité,Garcia de Farias,RR,75793672,2025-10-03 09:01:24
149,1560,Ladeira Brito,5,São Bento,da Cruz,MG,37482-488,2025-03-08 10:26:19
150,3653,Alameda Bryan Borges,61,Novo São Lucas,Jesus,RN,14723-403,2024-05-29 04:26:28
151,2630,Favela de Macedo,283,Nova Vista,Sales,RR,16615595,2024-12-20 02:46:48
152,2973,Viela Nascimento,80,Vila Nova,da Mota da Mata,TO,38297753,2024-12-01 10:40:57
153,3932,Chácara Maria Alice Moreira,508,Jardim Guanabara,Aparecida das Pedras,RJ,23266328,2025-04-06 17:06:15
154,236,Campo de Cunha,44,Antonio Ribeiro De Abreu 1ª Seção,Cavalcante do Norte,TO,66084372,2025-02-06 15:41:11
155,4329,Esplanada Souza,7,Vila Ecológica,Carvalho,PA,37038-524,2023-05-14 19:51:54
156,3757,Trevo Emanuella Ramos,72,Nova Suíça,Montenegro do Amparo,RR,87289364,2024-02-24 02:11:55
157,2326,Estrada Ana Lívia Novaes,86,Jardim Dos Comerciarios,Alves,RN,22952-735,2025-07-06 01:33:13
158,936,Avenida de Monteiro,212,Grotinha,Pinto dos Dourados,SE,26496562,2023-02-17 06:20:50
159,4157,Jardim Evelyn da Costa,8,Santa Isabel,Pacheco de Porto,MG,65546880,2023-11-05 09:07:02
160,3984,Colônia de Duarte,89,Horto,Marques de Aparecida,DF,31234825,2024-11-01 17:16:55
161,936,Sítio Aragão,28,Pantanal,Barbosa das Flores,SP,03022-539,2025-06-06 09:58:36
162,1157,Área Cassiano,98,Conjunto Bonsucesso,Rocha do Campo,GO,21543570,2024-04-28 16:04:44
163,2496,Vereda Ribeiro,4,Vila Do Pombal,Silveira,BA,34991767,2024-10-16 01:13:53
164,4747,Travessa Rocha,58,Suzana,Araújo,CE,37822-489,2024-12-07 18:22:03
165,1722,Alameda Benício Peixoto,461,Marmiteiros,Barbosa das Pedras,RN,52274883,2025-02-28 22:24:05
166,4777,Colônia Ramos,6,São Salvador,Macedo Alegre,MA,98686-281,2025-01-02 15:48:53
167,1599,Rodovia Rezende,7,Eymard,Abreu da Praia,SE,04231-217,2023-11-06 23:15:06
168,579,Núcleo Campos,427,Apolonia,Camargo de Almeida,MA,44255-881,2023-02-13 20:28:10
169,4598,Colônia Benjamim Vieira,65,Ipe,Lopes,BA,23001408,2025-09-18 23:13:36
170,516,Parque Gomes,19,Lagoa,Brito,SC,02077-908,2024-09-01 22:10:15
171,2818,Estrada Ana Vitória Monteiro,98,Vila Santo Antônio Barroquinha,Souza das Pedras,RO,82036849,2023-01-08 10:57:43
172,3175,Recanto Igor das Neves,911,Vila Da Ária,Fernandes Alegre,PE,08501-558,2025-04-11 10:03:24
173,846,Estrada Arthur Gabriel Barros,951,Vista Do Sol,Fonseca das Pedras,ES,40079-323,2023-12-31 04:16:57
174,1644,Pátio de da Luz,29,Novo Aarão Reis,Dias de Minas,PE,51423359,2023-01-31 15:08:17
175,101,Morro Ester Sousa,259,Santa Tereza,Marques,RS,05412-289,2024-03-17 14:39:45
176,3353,Favela de Duarte,89,São Bento,Novaes,PI,35999765,2025-07-30 08:56:48
177,2070,Vereda de Casa Grande,9,Maravilha,Duarte,MA,06170592,2023-11-19 12:59:07
178,2897,Praia de Siqueira,957,Gutierrez,Sá,AC,49630-257,2025-03-07 23:43:09
179,300,Aeroporto de Rocha,98,Vila Nova Cachoeirinha 3ª Seção,Santos,GO,36898851,2024-10-13 08:47:49
180,4807,Setor Costela,68,Solimoes,Siqueira do Campo,AC,36424947,2023-02-01 00:50:54
181,4221,Avenida da Rosa,7,Nova Floresta,Sales de Minas,RN,95463-239,2025-02-19 12:17:03
182,1608,Condomínio de Campos,933,Vila Independencia 1ª Seção,Barros,PR,51474161,2023-09-09 07:43:50
183,2050,Praça de Moraes,54,Vila Do Pombal,Sousa,RJ,69473039,2023-11-03 14:08:23
184,1640,Conjunto Aparecida,45,São Luiz,Duarte Alegre,RO,42225944,2022-12-23 22:26:06
185,3051,Trecho de da Mota,932,Vila Maloca,Silveira de Goiás,RJ,94334-223,2025-09-29 17:54:27
186,240,Estrada Yago Rocha,575,Vila Santa Monica 1ª Seção,Moraes,RO,89055647,2023-10-04 07:27:10
187,4369,Estrada Matheus Martins,45,Vila Ipiranga,Nunes,PI,68813827,2024-11-23 19:45:39
188,1153,Recanto da Rosa,5,Vila Paraíso,Cassiano dos Dourados,ES,15561-339,2025-03-20 17:11:29
189,727,Aeroporto Matteo Silva,85,Pilar,Aragão do Amparo,PA,28884-707,2023-06-07 10:44:29
190,1806,Ladeira de da Cunha,37,Pedreira Padro Lopes,Ribeiro do Oeste,CE,91092054,2024-11-18 20:05:20
191,2331,Campo de Ramos,96,Ribeiro De Abreu,Pimenta de Ramos,AL,34835003,2023-03-06 13:26:00
192,705,Residencial Ribeiro,6,Nova Suíça,Novaes,AC,59781-311,2024-01-12 21:57:12
193,3018,Parque de Garcia,10,Nossa Senhora Do Rosário,da Luz,ES,30008758,2025-11-12 23:46:04
194,3457,Lago da Cruz,68,Aparecida 7ª Seção,Fernandes,CE,52484683,2023-06-03 13:16:24
195,775,Trecho de Pinto,83,Calafate,Fonseca,MG,00712708,2025-08-15 10:58:16
196,1770,Colônia Souza,6,São Paulo,Andrade de Moraes,RR,07457084,2023-09-05 16:17:25
197,893,Setor Rocha,27,Vila São Gabriel Jacui,Albuquerque,RN,05414-149,2024-01-24 12:25:14
198,2833,Alameda de Montenegro,29,Araguaia,Brito do Campo,PE,35982-791,2024-03-06 13:34:51
199,3322,Praça de Gonçalves,44,Marmiteiros,Cavalcanti,PI,31191297,2025-02-14 02:15:17
200,3726,Quadra de da Conceição,51,Carmo,Alves de Pinto,AL,75781743,2024-03-03 15:41:16
201,2732,Viela Brito,88,Senhor Dos Passos,Peixoto,RR,63515836,2025-07-01 20:55:16
202,1968,Viela de Silveira,18,Providencia,Abreu,SC,63649503,2025-04-03 08:13:21
203,389,Setor Lorenzo Viana,17,Bela Vitoria,Montenegro de das Neves,ES,49157-051,2024-03-02 10:55:32
204,3949,Via Alexandre Santos,60,Pantanal,Rodrigues de Pereira,AM,75820724,2022-12-30 20:07:43
205,4097,Trevo Daniela Novaes,979,Tupi B,Sales do Oeste,AL,46455727,2024-09-18 02:09:03
206,1442,Colônia Moreira,90,Alto Barroca,Camargo,SP,78288607,2023-09-27 12:30:49
207,769,Praça de Fogaça,9,Primeiro De Maio,Cardoso de Santos,RS,15658-451,2025-01-16 04:31:59
208,520,Colônia de Barbosa,69,Floramar,Ramos do Galho,PR,56025306,2025-06-03 23:41:02
209,3117,Jardim da Conceição,32,Túnel De Ibirité,Leão,MA,67150-630,2025-08-05 22:14:28
210,4702,Condomínio de Vieira,96,Taquaril,Borges de Fernandes,AL,76668849,2025-04-23 16:48:14
211,245,Jardim de Dias,17,Jonas Veiga,Andrade das Flores,RR,70296-757,2025-05-16 16:04:46
212,3185,Distrito Sampaio,81,Bacurau,Farias Alegre,PI,44387013,2025-01-30 14:19:21
213,4730,Área Alves,591,Santa Sofia,Camargo Verde,AM,22541-022,2023-05-18 17:49:38
214,1289,Viela de Farias,59,Laranjeiras,Duarte da Mata,AP,55864367,2023-03-05 20:44:46
215,3866,Largo Ramos,32,Cidade Jardim,da Mata Grande,PB,32851-258,2025-10-05 07:32:08
216,3984,Praia Sara Pimenta,25,Cidade Jardim,Sousa,DF,65294372,2025-02-05 21:57:05
217,1966,Rua Sales,5,Comiteco,Andrade de Caldeira,BA,22901-848,2024-12-20 13:43:19
218,465,Largo de Freitas,84,Paraíso,Brito,AC,76485558,2024-10-18 14:24:11
219,3873,Área Rios,662,Vila Bandeirantes,Ramos de Moraes,TO,52943-291,2023-07-03 22:22:20
220,278,Feira Silveira,975,São Salvador,Aparecida de da Conceição,SC,65408-081,2022-11-27 23:42:18
221,1863,Sítio Vitor Araújo,205,Olhos D'água,Gonçalves de Minas,RJ,33841251,2024-03-31 05:35:13
222,4238,Praça Martins,68,Tirol,Moreira,SP,03234-019,2025-10-28 02:58:37
223,4006,Favela de Lima,91,Barroca,Pimenta,MA,03657-047,2024-08-24 20:44:06
224,872,Recanto Carlos Eduardo Marques,108,Vila Ecológica,Pastor,SC,37792-166,2025-05-30 03:14:51
225,850,Estrada Souza,83,Betânia,Sá,RO,91640816,2024-08-21 12:46:08
226,2570,Trevo Moreira,79,Santa Tereza,Martins Verde,PB,96472641,2025-09-29 07:00:12
227,4462,Vereda de Porto,904,Universitário,Cavalcante do Sul,RS,31540087,2024-03-03 17:41:50
228,642,Esplanada Camargo,5,Marçola,Carvalho,RS,16207465,2024-12-16 05:47:43
229,2045,Chácara de Alves,99,Carmo,Casa Grande de Martins,CE,10406-370,2022-11-28 12:40:11
230,2887,Aeroporto Duarte,702,Milionario,Almeida do Campo,PR,72764-431,2025-09-17 03:17:53
231,2565,Setor Matheus Carvalho,67,Jaraguá,Macedo da Serra,AC,87708-221,2023-02-07 02:06:57
232,246,Viela Bryan Aparecida,52,Providencia,Abreu do Galho,AM,54251691,2025-05-14 20:29:31
233,2726,Avenida de da Mota,99,São Sebastião,Mendonça,AP,20289-891,2023-03-25 19:15:17
234,1712,Travessa Gomes,265,Paraíso,Ramos,SE,01711987,2025-06-26 13:35:46
235,955,Condomínio de Moreira,283,Havaí,Mendes,TO,09338-117,2024-08-03 16:37:20
236,4234,Avenida Manuela Cardoso,64,Eymard,da Mata,RS,24458674,2025-08-02 20:30:44
237,3059,Feira Dom Pereira,70,Beija Flor,Cavalcanti,SP,81982-962,2025-03-04 09:28:02
238,4061,Lago Bárbara Nogueira,52,Pilar,Borges do Galho,DF,67132454,2024-05-25 06:37:03
239,4406,Campo Ayla da Mata,9,Cenaculo,Jesus de Andrade,RO,73267389,2025-01-30 00:15:54
240,3605,Parque Caldeira,9,Marieta 3ª Seção,Fogaça das Pedras,MS,71094764,2025-05-31 09:27:14
241,4274,Área Alícia Pacheco,88,Olhos D'água,Camargo de Machado,DF,75198344,2022-12-10 21:16:02
242,4391,Alameda Luiz Fernando Carvalho,67,Vila Cloris,Pimenta de Cavalcanti,AM,83656-528,2025-09-10 07:07:14
243,4600,Rodovia Luiz Gustavo Gomes,749,Planalto,Porto do Amparo,PB,97281732,2024-03-06 05:57:34
244,4576,Viela Leonardo Cirino,50,Paquetá,Melo,RS,85152-592,2023-12-04 06:55:28
245,3688,Avenida de Correia,9,Mangabeiras,Souza,MG,45920-543,2023-09-07 06:38:41
246,319,Alameda de das Neves,20,Flavio Marques Lisboa,Gonçalves,AM,28114174,2025-02-20 08:44:57
247,1169,Estação Araújo,495,São Francisco Das Chagas,Aragão,RS,06044822,2024-11-30 12:30:29
248,4770,Residencial Ramos,17,Teixeira Dias,da Paz Paulista,AL,58625043,2024-09-09 09:31:26
249,1636,Conjunto de Dias,20,Biquinhas,Rocha,AL,70068235,2023-06-14 13:06:11
250,3017,Fazenda Pacheco,82,Solar Do Barreiro,Sampaio,MA,16212-123,2024-07-11 14:50:19
251,2502,Sítio de Garcia,315,Vila Pinho,Costa de Mendes,TO,26421814,2023-08-18 18:50:29
252,3269,Estação de Costa,83,Vila Aeroporto Jaraguá,Sá,MT,61197874,2025-01-31 08:01:10
253,3766,Parque de Vargas,823,Santa Cruz,da Mota de da Conceição,GO,26052321,2024-10-03 20:36:28
254,3460,Colônia Mendonça,17,Nova Floresta,Rodrigues,MS,58353921,2023-03-21 23:21:47
255,4907,Residencial de Porto,372,Buraco Quente,Pimenta,PE,36929898,2025-07-03 19:27:40
256,515,Favela de Alves,878,Vila Sesc,Câmara,RN,90845826,2025-11-05 08:57:06
257,1903,Lagoa de Alves,75,São Gonçalo,Fogaça,BA,20844-888,2024-07-11 09:28:44
258,318,Lago de das Neves,369,Serra Do Curral,Nascimento Alegre,MA,18410-314,2023-01-25 21:52:18
259,4195,Núcleo Valentina Gomes,86,Maria Tereza,Teixeira de Goiás,RJ,12201-243,2025-09-19 14:35:10
